XEROX,560092,"152N11530 | 152N11531 | 152N11532 | 152N11533 | 152N11534 | 152N11535 | 152N11536 | 152N11537","SC CABLE K ASSY 5355",10189.23,9985.63,9883.5,9781.37,9679.9,,
XEROX,560100,152N11538,"LVR FOOT SW CAB 5355",18957.87,18579,18389.24,18199.48,18009.71,,
XEROX,560101,152N11539,"DC CABLE 2 ASSY 5355",9431.49,9243.05,9148.83,9053.94,8959.72,,
XEROX,560102,152N11540,"AC CABLE 1 ASSY 5355",9431.49,9243.05,9148.83,9053.94,8959.72,,
XEROX,560103,152N11541,"DC CABLE ASSY 5355",12635.07,12382.05,12256.2,12129.69,12003.18,,
XEROX,560104,152N11542,"POWER CABLE SET 5355",19710.99,19316.97,19119.96,18922.29,18725.28,,
XEROX,560105,152N11543,"AC CABLE ASSY 5355",47817.69,46861.63,46383.27,45904.9,45426.54,,
XEROX,560106,152N11544,"GRD.MOT.CABLE 5355",4012.04,3931.66,3891.46,3851.27,3811.74,,
XEROX,560107,152N11559,"CABLE FOR VIDEO DAUG DocuColor 8000 Digital Press",25963.95,25444.74,25185.13,24925.53,24665.92,,
XEROX,560108,152N11560,"POWER/RESET HARNESS DocuColor 8000 Digital Press",15630.43,15318.11,15161.29,15005.13,14848.97,,
XEROX,560109,152N11596,"йюаекэ WC PE114e (Mont Blanc)",717.54,703.05,695.8,688.55,681.96,,
XEROX,560110,152N11597,"йюаекэ я пюгзелюлх WC PE114e (Mont Blanc)",735.33,720.84,713.59,705.68,698.43,,
XEROX,560111,152N11622,"ькеит я пюгзелюлх DocuColor 250 (Office)",23218.32,22753.79,22521.86,22289.27,22057.34,,
XEROX,560112,152N11623,"йюаекэ Phaser3117 Phaser 3117",654.95,641.77,635.18,628.59,622,,
XEROX,560113,152N11625,"ькеит Phaser 3117 Phaser 3117",1054.9,1033.81,1023.27,1012.73,1002.19,,
XEROX,560114,152N11626,"йюаекэ тэчгепю WorkCentre PE220",712.27,697.78,691.19,683.94,676.69,,
XEROX,560115,152N11627,"CBF HARNESS-OPE WorkCentre PE220",861.84,844.71,836.14,827.58,819.01,,
XEROX,560116,152N11628,"CBF HARNESS WorkCentre PE220",253.68,248.41,245.77,243.79,241.16,,
